1925	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
41	Otrava krve	252	73	7	12	20	62	24	33	21	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		6809	14	23	11	40	385	819	2695	2822	0
KR		191	9	14	4	16	34	40	61	13	0
EN		826	86	60	27	34	64	63	261	231	0
DU		113	0	0	1	6	7	18	32	49	0
III	Celkové nemoci vıše nejmenované	7879	114	99	45	94	487	933	3032	3075	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	47	-	1	-	3	3	1	16	23	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3184	3	-	-	1	92	236	1254	1598	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	768	-	-	-	5	29	61	308	365	-
46	Rakovina neb jiné zhoubné nádory rodidel	1323	-	-	-	6	148	309	560	300	-
47	Rakovina neb jiné zhoubné nádory prsu	383	-	-	-	1	25	76	159	122	-
48	Rakovina neb jiné zhoubné nádory kùe	89	-	2	-	-	1	1	8	77	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	875	-	8	4	19	68	112	347	317	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	55	7	4	1	5	3	5	15	15	-
51	Prudkı horeèatı hostec kloubní	19	1	1	12	1	2	1	1	-	-
52	Vleklı hostec, dna	161	-	-	3	5	6	9	56	82	-
53	Kurdìje	4	1	-	-	-	1	-	2	-	-
56	Køivice	122	67	52	2	1	-	-	-	-	-
57	Cukrovka	368	-	1	8	17	36	26	147	133	-
59	Nedokrevnost zhoubná	155	5	6	4	11	28	34	54	13	-
58a	Jiné nedokrevnosti a blednièka	29	4	6	-	4	5	4	6	-	-
58b	Nemoci hypophysy	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	98	-	-	-	9	16	16	46	11	-
60b	Jiná onemocnìní štítné lázy	20	3	-	1	-	-	6	6	4	-
61	Nemoci lázek pøištítnıch	12	11	-	-	-	-	-	1	-	-
62	Nemoci brzlíku	10	3	6	1	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	12	-	-	-	1	3	5	2	1	-
64	Nemoci sleziny	7	-	2	-	1	1	2	1	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	85	4	8	6	-	16	18	28	5	-
66	Alkoholismus	22	-	-	-	1	1	6	8	6	-
67	Vleklé otravy nerostnımi látkami	1	-	-	-	-	-	1	-	-	-
68	Vleklé otravy ústrojnımi látkami	4	-	-	-	-	-	2	2	-	-
69	Ostatní celkové nemoci	26	5	2	3	3	3	2	5	3	-
											
IV	Choroby systému nervového a smyslovıch orgánù	7476	1811	401	191	178	317	401	1448	2729	-
70	Zánìt mozku	113	11	17	11	21	21	16	12	4	-
71	Zánìt mozkovıch blan	692	171	224	122	57	44	25	33	16	-
72	Úbytì míchy	96	-	-	-	1	14	21	40	20	-
73	Jiné choroby míchy	210	3	1	7	8	27	32	78	54	-
74a	Vılev krevní do mozku	3632	-	-	-	10	55	184	1054	2329	-
74b	Záha il mozkovıch	68	-	-	-	3	4	5	16	40	-
75a	Jednostranná obrna tìla	125	1	-	1	1	2	3	33	84	-
75b	Paralysis progressiva	144	-	-	-	-	29	29	56	30	-
75c	Jiné obrny	28	-	-	-	2	4	6	7	9	-
76	Ochrnutí spojené s duševní chorobou	4	-	-	-	-	-	1	1	2	-
77	Jiné duševní choroby	87	-	-	1	5	6	11	23	41	-
78	Padoucnice	130	-	4	14	30	35	11	24	12	-
79	Boec nepuerperální	13	-	-	3	3	5	-	1	1	-
80	Køeèe u dìtí	1715	1594	121	-	-	-	-	-	-	-
81	Posunèina	2	-	-	1	1	-	-	-	-	-
82b	Zánìt nervù	16	-	-	2	1	-	3	7	3	-
83	Zmìknutí mozku	95	-	2	-	1	7	9	22	54	-
84	Ostatní choroby systému nervového	249	15	22	22	26	61	41	34	28	-
86	Choroby ucha nebo dutin mastoideu	57	16	10	7	8	3	4	7	2	-
											
V	Choroby obìhu krevního	10476	51	25	134	263	620	831	2891	5661	-
87	Zánìt osrdce	29	-	-	1	3	3	3	10	9	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	222	10	5	21	31	83	72	-	-	-
89	Srdeèní angina	44	-	-	-	-	-	5	8	31	-
90	Jiné nemoci srdce	8176	34	20	109	217	500	686	2523	4087	-
91a	Vıdu	54	-	-	1	2	1	9	24	17	-
91b	Zkornatìní a jiné choroby tepen	1780	-	-	-	-	7	21	275	1477	-
92	Záha (nikoliv mozkovı)	103	1	-	1	8	16	25	34	18	-
93	Choroby il	46	-	-	-	1	5	10	12	18	-
94	Choroby systému mízního	13	6	-	-	1	2	-	2	2	-
95	Ostatní choroby obìhu krevního	9	-	-	1	-	3	-	3	2	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-
											
VI	Choroby ústrojí dıchacího	8644	2405	804	117	171	324	319	1196	3308	-
97	Choroby dutin nosních a jejich adnex	1	-	-	-	-	-	-	-	1	-
98	Choroby hrtanu	21	15	4	-	1	-	-	-	1	-
99a	Zánìt prùdušek prudkı	442	334	54	1	1	2	1	5	44	-
99b	Zánìt prùdušek vleklı	251	20	20	2	5	12	15	37	140	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	463	378	85	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	298	-	-	3	3	4	9	48	231	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	1328	653	190	20	10	20	25	95	315	-
101a	Zánìt plic lalokovı	552	63	47	16	20	43	44	122	197	-
101b	Zánìt plic bez blišího oznaèení	3661	913	385	63	102	176	155	539	1328	-
102	Zánìt pohrudnice	291	15	18	9	16	33	28	62	110	-
103	Pøekrvení nebo krvácení parenchymatosní plic	129	7	-	1	2	6	8	19	86	-
104	Snì plicní	21	-	-	-	1	8	1	5	6	-
105	Záducha	207	1	-	1	1	4	5	56	139	-
106	Rozedma plic	911	1	-	-	1	7	20	198	684	-
107	Ostatní choroby ústrojí dıchacího	68	5	1	1	8	9	8	10	26	-
											
VII	Choroby ústrojí zaívacího	5824	3322	337	111	177	360	272	570	675	-
108b	Choroby ústní dutiny a jejich adnex	18	14	1	2	1	-	-	-	-	-
109	Choroby hltanu nebo mandlí	55	10	8	6	11	7	5	5	3	-
110	Choroby jícnu	5	-	-	-	-	1	-	2	2	-
111a	Vøed aludeèní	196	1	1	3	11	41	36	69	34	-
111b	Vøed dvanácterníku	27	-	-	-	1	7	2	11	6	-
112	Jiné choroby aludeèní	36	-	-	-	-	7	1	10	18	-
113	Prùjem a zánìt støev (pod 2 roky)	3475	3267	208	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	323	-	67	11	14	20	18	70	123	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	3	-	2	-	-	1	-	-	-	-
117	Zánìt èervu a jeho okolí	249	2	17	47	49	46	32	29	27	-
118a	Kıla 	198	5	-	1	3	6	17	70	96	-
118b	Záha støevní	262	8	3	2	10	20	21	70	128	-
119b	Jiné choroby støev	32	2	-	1	1	4	5	6	13	-
120	Prudká atrofie jater	25	-	-	-	4	4	7	5	5	-
121	Hydativní nádor jater	1	-	-	-	-	1	-	-	-	-
122a	Svraštìní jater alkoholické	-	-	-	-	-	-	-	-	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	123	-	1	1	2	12	18	39	50	-
123	luèové kaménky	99	-	-	-	-	15	16	30	38	-
124	Jiné choroby jater	196	-	2	2	9	24	23	69	67	-
125	Choroby mikteru	14	-	-	-	-	2	2	9	1	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	487	13	27	35	61	142	69	76	64	-
											
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1726	24	28	52	111	288	266	519	438	-
128	Prudkı zánìt ledvin	103	14	23	21	11	14	7	9	4	-
129	Vleklı zánìt ledvin	1328	-	4	29	77	198	198	448	374	-
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	78	4	1	2	10	12	5	22	22	-
132	Moèové kaménky	4	-	-	-	-	1	-	2	1	-
133	Choroby mìchıøe	35	6	-	-	-	3	3	5	18	-
134	Choroby moèové roury	5	-	-	-	-	1	1	-	3	-
135	Choroby lázy pøedstojné	x	x	x	x	x	x	x	x	x	x
136	Nevenerické choroby muskıch pohlavních orgánù	x	x	x	x	x	x	x	x	x	x
137	Boubel a jiné nezhoubné nádory vajeèníku	25	-	-	-	2	7	5	7	4	-
138	Zánìt vejcovodu nebo vøed v pánvi	11	-	-	-	4	6	1	-	-	-
139	Nádory dìloní	42	-	-	-	-	5	24	11	2	-
140	Nepuerperální krvácení z dìlohy	7	-	-	-	-	3	2	1	1	-
141	Ostatní choroby rodidel	87	-	-	-	7	37	20	14	9	-
142	Nepuerperální choroby prsu	1	-	-	-	-	1	-	-	-	-
											
IX	Puerperální stav	942	-	-	-	213	631	98	-	-	-
143a	Potrat 	31	-	-	-	4	22	5	-	-	-
143b	Mimodìloní tìhotenství	49	-	-	-	6	32	11	-	-	-
143c	Jiné nehody tìhotenské	1	-	-	-	-	-	1	-	-	-
144	Krvácení tìhotnıch a v šestinedìlí	96	-	-	-	13	70	13	-	-	-
145	Jiné nehody pøi porodu	57	-	-	-	8	35	14	-	-	-
146	Horeèka omladnic	599	-	-	-	150	406	43	-	-	-
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	14	-	-	-	2	11	1	-	-	-
148	Albuminurie nebo boec v šestinedìlí	77	-	-	-	30	42	5	-	-	-
149	Následky porodu (bez blišího oznaèení)	18	-	-	-	-	13	5	-	-	-
150	Puerperální choroby prsu	-	-	-	-	-	-	-	-	-	-
											
X	Choroby kùe a vaziva	623	364	6	-	8	27	22	53	143	-
151	Snì	109	5	-	-	-	2	6	13	83	-
152	Neit	214	192	1	-	2	2	2	10	5	-
153	Zánìt podkoního vaziva, horeènatı vøed	166	89	4	-	5	18	11	16	23	-
155	Ostatní choroby kùe neb jejich adnex	134	78	1	-	1	5	3	14	32	-
											
XI	Choroby kostí a ústrojí pohybového	105	10	5	23	7	9	9	23	19	-
156	Choroby kostí	84	8	5	23	7	7	6	16	12	-
157	Choroby kloubù	19	2	-	-	-	2	1	7	7	-
158	Ostatní choroby kostí nebo ústrojí pohybového	2	-	-	-	-	-	2	-	-	-
											
XII	Zrùdnost vrozená	159	157	2	-	-	-	-	-	-	-
159	Zrùdnost vrozená	159	157	2	-	-	-	-	-	-	-
											
XIII	Ranı vìk	3595	3595	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	2265	2265	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1157	1157	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	170	170	-	-	-	-	-	-	-	-
163	Nedostatek péèe	3	3	-	-	-	-	-	-	-	-
											
XIV		10806	5	2	3	3	3	5	116	10669	0
164	Stáøí	10775	-	-	-	-	-	-	109	10666	-
											
XV	Zevní pøíèiny 	1726	50	191	89	335	289	178	267	325	2
SE		811	0	0	8	221	186	113	168	114	1
165	Sebevrada otravou jedy	81	 -	 -	1	30	31	6	12	1	 -
166	Sebevrada otravou poitím íravin	49	 -	 -	1	19	15	3	10	1	 -
167	Sebevrada vdechováním jedovatıch plynù	15	 -	 -	 -	7	2	3	1	2	 -
168	Sebevrada obìšením neb uškrcením	319	 -	 -	 -	42	53	64	94	66	 -
169	Sebevrada utopením	197	 -	 -	3	61	44	23	38	27	1
170	Sebevrada zastøelením	37	 -	 -	 -	21	14	1	1	 -	 -
171	Sebevrada nástroji øeznımi neb bodnımi	14	 -	 -	 -	1	2	2	6	3	 -
172	Sebevrada skokem s vıše	13	 -	 -	1	 -	8	1	1	2	 -
173	Sebevrada rozdrcením	56	 -	 -	1	35	8	5	2	5	 -
174	Sebevrada jinım zpùsobem	30	 -	 -	1	5	9	5	3	7	 -
175	Otrava potravinami	17	1	3	3	2	6	 -	 -	2	 -
176	Uštknutí neb štípnutí	4	 -	1	2	 -	 -	1	 -	 -	 -
177	Jiné prudké otravy náhodné (vyjma plyny)	18	1	2	 -	7	2	1	4	1	 -
178	Úraz pøi poáru	8	1	1	 -	1	 -	1	 -	4	 -
179	Náhodné popálení (vyjma pøi poáru)	158	14	80	18	10	11	3	5	17	 -
180	Náhodné mechanické udušení (vyjma pøi poáru)	25	11	3	1	1	2	3	1	3	 -
181	Vdechování plynù nedıchatelnıch neb jedovatıch	25	2	6	1	3	3	 -	4	6	 -
182	Náhodné utopení	141	1	67	15	21	6	9	11	11	 -
183	Poranìní støelnou zbraní	18	2	2	4	2	3	3	2	 -	 -
184	Poranìní nástroji øeznımi neb bodnımi	7	 -	 -	 -	1	2	 -	2	2	 -
185	Poranìní pádem	46	1	 -	1	3	6	5	8	22	 -
186	Poranìní v dolech neb lomech	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
187	Poranìní stroji	4	 -	 -	 -	2	1	 -	1	 -	 -
DN		71	0	10	8	8	4	9	16	16	0
188a	Poranìní eleznicemi a tramvajemi	35	 -	7	3	6	2	1	10	6	 -
188b	Poranìní automobily	22	 -	1	3	2	1	6	2	7	 -
188c	Poranìní motocykly	1	 -	 -	 -	 -	 -	 -	1	 -	 -
188d	Poranìní aeroplány a balony	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
188	Poranìní jinımi dopravními prostøedky	13	 -	2	2	 -	1	2	3	3	 -
188f	Poranìní jinım zhmodìním	129	 -	8	14	11	23	9	17	47	 -
189	Poranìní zpùsobená zvíøaty	2	 -	 -	 -	 -	1	 -	1	 -	 -
192b	Hlad nebo ízeò	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
193	Pøílišnı chlad	12	 -	 -	 -	 -	 -	3	5	4	 -
194	Pøílišnı ár	1	 -	 -	 -	1	 -	 -	 -	 -	 -
195	Blesk	27	 -	 -	2	7	7	4	5	2	 -
196	Jiné úrazy elektrickım proudem	8	 -	 -	2	4	2	 -	 -	 -	 -
NA		84	16	6	4	21	14	12	4	6	1
197	Zabití støelnou zbraní	29	 -	 -	1	18	5	3	 -	1	1
198	Zabití nástroji øeznımi neb bodnımi	8	 -	1	 -	 -	4	 -	2	1	 -
199	Zabití jinımi prostøedky	23	 -	4	3	3	3	6	2	2	 -
200	Zabití dítìte do 1 roku	16	16	 -	 -	 -	 -	 -	 -	 -	 -
201c	Zlomeniny (bez blišího oznaèení)	110	 -	2	6	9	10	2	13	68	 -
202a	Ostatní násilná zevní poranìní	8	 -	1	 -	 -	2	3	 -	2	 -
202b	Poprava legální	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
203	Násilná smrt neznáme pøíèiny	-	-	-	-	-	-	-	-	-	-
											
XVI	Nemoci špatnì definované	1063	126	51	10	29	80	84	337	345	1
204	Náhlé úmrtí	6	-	-	-	-	-	1	4	1	-
205	Nemoci nespecifikované nebo špatnì definované	1057	126	51	10	29	80	83	333	344	1
