1926	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
41	Otrava krve	329	120	11	14	44	22	29	53	36	-
42	Ostatní nemoci a infekèní	3	2	1	-	-	-	-	-	-	-
											
RA		6306	6	21	20	45	206	512	2596	2900	0
KR		128	16	19	6	6	13	14	40	14	0
EN		817	137	70	25	41	53	61	221	209	0
DU		203	0	1	2	6	18	38	83	55	0
III	Celkové nemoci vıše nejmenované	7441	166	112	54	99	291	620	2935	3164	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	158	-	-	-	-	5	12	52	89	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	4135	-	-	1	5	95	309	1784	1941	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	747	-	3	-	3	25	72	298	346	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	2	-	-	-	-	-	-	1	1	-
48	Rakovina neb jiné zhoubné nádory kùe	83	-	-	1	-	2	5	26	49	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	966	2	8	10	21	57	81	370	417	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	114	2	6	2	5	14	9	35	41	-
51	Prudkı horeèatı hostec kloubní	12	-	-	7	3	-	1	1	-	-
52	Vleklı hostec, dna	80	-	1	1	6	2	2	20	48	-
53	Kurdìje	3	-	-	-	-	1	-	2	-	-
56	Køivice	173	113	59	1	-	-	-	-	-	-
57	Cukrovka	460	-	4	10	23	39	45	182	157	-
59	Nedokrevnost zhoubná	102	11	11	5	4	11	11	36	13	-
58a	Jiné nedokrevnosti a blednièka	19	5	6	1	2	1	-	3	1	-
58b	Nemoci hypophysy	2	-	-	-	2	-	-	-	-	-
60a	Basedowova nemoc	24	-	-	-	1	5	6	11	1	-
60b	Jiná onemocnìní štítné lázy	20	1	-	1	5	5	2	3	3	-
61	Nemoci lázek pøištítnıch	16	9	3	3	-	-	1	-	-	-
62	Nemoci brzlíku	20	14	3	2	1	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	7	-	-	-	-	1	4	2	-	-
64	Nemoci sleziny	7	-	2	-	-	1	3	1	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	101	2	4	6	11	8	24	30	16	-
66	Alkoholismus	155	-	-	-	2	13	31	71	38	-
67	Vleklé otravy nerostnımi látkami	7	-	1	-	-	-	2	2	2	-
68	Vleklé otravy ústrojnımi látkami	1	-	-	-	-	1	-	-	-	-
69	Ostatní celkové nemoci	27	7	1	3	5	5	-	5	1	-
											
IV	Choroby systému nervového a smyslovıch orgánù	7603	2099	335	174	234	363	479	1503	2416	-
70	Zánìt mozku	122	16	14	9	24	19	14	19	7	-
71	Zánìt mozkovıch blan	657	195	171	116	56	51	21	31	16	-
72	Úbytì míchy	157	-	-	-	4	12	36	63	42	-
73	Jiné choroby míchy	190	1	4	3	14	17	35	75	41	-
74a	Vılev krevní do mozku	3276	-	-	-	17	55	170	999	2035	-
74b	Záha il mozkovıch	58	-	-	-	2	4	4	17	31	-
75a	Jednostranná obrna tìla	123	-	1	1	-	4	9	31	77	-
75b	Paralysis progressiva	341	-	-	-	10	72	105	112	42	-
75c	Jiné obrny	34	-	-	-	1	2	8	12	11	-
76	Ochrnutí spojené s duševní chorobou	5	-	1	-	-	1	1	1	1	-
77	Jiné duševní choroby	43	-	-	2	4	4	6	11	16	-
78	Padoucnice	174	1	2	11	48	54	20	27	11	-
79	Boec nepuerperální	7	-	-	6	-	-	-	1	-	-
80	Køeèe u dìtí	1939	1842	97	-	-	-	-	-	-	-
81	Posunèina	2	-	-	-	-	-	-	1	1	-
82b	Zánìt nervù	10	-	1	-	-	2	-	3	4	-
83	Zmìknutí mozku	76	-	-	1	-	2	5	30	38	-
84	Ostatní choroby systému nervového	282	16	33	12	32	48	42	57	42	-
86	Choroby ucha nebo dutin mastoideu	107	28	11	13	22	16	3	13	1	-
											
V	Choroby obìhu krevního	9345	68	48	113	231	484	739	2633	5027	2
87	Zánìt osrdce	20	1	-	2	3	9	1	1	3	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	165	8	6	15	33	75	28	-	-	-
89	Srdeèní angina	136	-	-	-	2	5	17	60	52	-
90	Jiné nemoci srdce	6856	49	38	91	185	371	626	2124	3371	1
91a	Vıdu	108	-	1	-	2	5	24	50	25	1
91b	Zkornatìní a jiné choroby tepen	1950	-	-	1	-	11	30	365	1543	-
92	Záha (nikoliv mozkovı)	61	1	-	1	3	3	7	27	19	-
93	Choroby il	16	-	-	-	1	-	4	4	7	-
94	Choroby systému mízního	23	9	3	2	1	4	-	1	3	-
95	Ostatní choroby obìhu krevního	9	-	-	1	-	1	2	1	4	-
96	Ostatní choroby obìhu krevního	1	-	-	-	1	-	-	-	-	-
											
VI	Choroby ústrojí dıchacího	10456	3329	955	142	180	305	442	1524	3577	2
97	Choroby dutin nosních a jejich adnex	6	1	-	-	1	1	1	2	-	-
98	Choroby hrtanu	37	20	7	2	2	-	-	5	1	-
99a	Zánìt prùdušek prudkı	567	502	20	-	1	1	3	5	35	-
99b	Zánìt prùdušek vleklı	422	35	19	1	5	6	22	76	258	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	423	311	112	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	457	-	-	11	2	7	20	75	342	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	1924	1056	256	27	14	21	36	139	375	-
101a	Zánìt plic lalokovı	826	158	83	22	48	48	66	172	229	-
101b	Zánìt plic bez blišího oznaèení	3725	1198	414	64	77	137	190	552	1091	2
102	Zánìt pohrudnice	418	27	33	11	22	48	43	99	135	-
103	Pøekrvení nebo krvácení parenchymatosní plic	163	13	4	3	2	8	9	16	108	-
104	Snì plicní	65	-	-	-	4	10	5	28	18	-
105	Záducha	309	2	-	-	-	3	12	78	214	-
106	Rozedma plic	1046	-	1	-	-	12	28	254	751	-
107	Ostatní choroby ústrojí dıchacího	68	6	6	1	2	3	7	23	20	-
											
VII	Choroby ústrojí zaívacího	7559	4706	409	120	188	289	355	716	776	-
108b	Choroby ústní dutiny a jejich adnex	27	19	2	-	2	3	-	1	-	-
109	Choroby hltanu nebo mandlí	80	14	16	14	12	14	2	1	7	-
110	Choroby jícnu	8	-	-	1	-	-	1	4	2	-
111a	Vøed aludeèní	394	1	-	2	27	79	92	132	61	-
111b	Vøed dvanácterníku	72	1	-	-	1	20	17	25	8	-
112	Jiné choroby aludeèní	89	2	-	1	4	4	3	19	56	-
113	Prùjem a zánìt støev (pod 2 roky)	4866	4602	264	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	224	-	66	14	9	10	16	41	68	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	289	1	25	53	65	45	32	36	32	-
118a	Kıla 	309	30	3	2	2	11	16	58	187	-
118b	Záha støevní	233	14	8	5	8	25	25	64	84	-
119b	Jiné choroby støev	52	4	3	4	4	4	4	12	17	-
120	Prudká atrofie jater	23	-	1	2	3	3	1	10	3	-
121	Hydativní nádor jater	-	-	-	-	-	-	-	-	-	-
122a	Svraštìní jater alkoholické	17	-	-	-	-	2	7	6	2	-
122b	Svraštìní jater neoznaèené jako alkoholické	372	2	-	2	3	16	70	156	123	-
123	luèové kaménky	50	-	-	-	1	6	4	17	22	-
124	Jiné choroby jater	170	1	6	4	4	9	28	61	57	-
125	Choroby mikteru	16	-	-	-	2	2	5	5	2	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	268	15	15	16	41	36	32	68	45	-
											
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	2347	41	34	35	106	191	263	677	1000	-
128	Prudkı zánìt ledvin	112	28	30	17	5	7	14	8	3	-
129	Vleklı zánìt ledvin	1560	3	3	16	92	167	225	564	490	-
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	84	4	1	-	6	10	14	21	28	-
132	Moèové kaménky	19	-	-	1	1	2	2	8	5	-
133	Choroby mìchıøe	155	5	-	1	2	3	3	24	117	-
134	Choroby moèové roury	30	1	-	-	-	-	3	10	16	-
135	Choroby lázy pøedstojné	385	-	-	-	-	1	2	41	341	-
136	Nevenerické choroby muskıch pohlavních orgánù	2	-	-	-	-	1	-	1	-	-
137	Boubel a jiné nezhoubné nádory vajeèníku	x	x	x	x	x	x	x	x	x	x
138	Zánìt vejcovodu nebo vøed v pánvi	x	x	x	x	x	x	x	x	x	x
139	Nádory dìloní	x	x	x	x	x	x	x	x	x	x
140	Nepuerperální krvácení z dìlohy	x	x	x	x	x	x	x	x	x	x
141	Ostatní choroby rodidel	x	x	x	x	x	x	x	x	x	x
142	Nepuerperální choroby prsu	x	x	x	x	x	x	x	x	x	x
											
IX	Puerperální stav	x	x	x	x	x	x	x	x	x	x
143a	Potrat 	x	x	x	x	x	x	x	x	x	x
143b	Mimodìloní tìhotenství	x	x	x	x	x	x	x	x	x	x
143c	Jiné nehody tìhotenské	x	x	x	x	x	x	x	x	x	x
144	Krvácení tìhotnıch a v šestinedìlí	x	x	x	x	x	x	x	x	x	x
145	Jiné nehody pøi porodu	x	x	x	x	x	x	x	x	x	x
146	Horeèka omladnic	x	x	x	x	x	x	x	x	x	x
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x
148	Albuminurie nebo boec v šestinedìlí	x	x	x	x	x	x	x	x	x	x
149	Následky porodu (bez blišího oznaèení)	x	x	x	x	x	x	x	x	x	x
150	Puerperální choroby prsu	x	x	x	x	x	x	x	x	x	x
											
X	Choroby kùe a vaziva	631	414	8	6	14	16	18	41	114	-
151	Snì	95	4	-	-	2	5	3	13	68	-
152	Neit	301	254	3	2	7	5	7	10	13	-
153	Zánìt podkoního vaziva, horeènatı vøed	86	43	3	2	4	4	7	12	11	-
155	Ostatní choroby kùe neb jejich adnex	149	113	2	2	1	2	1	6	22	-
											
XI	Choroby kostí a ústrojí pohybového	158	12	11	28	28	23	16	19	21	-
156	Choroby kostí	135	9	10	27	23	20	14	17	15	-
157	Choroby kloubù	21	3	1	1	4	3	2	2	5	-
158	Ostatní choroby kostí nebo ústrojí pohybového	2	-	-	-	1	-	-	-	1	-
											
XII	Zrùdnost vrozená	216	208	8	-	-	-	-	-	-	-
159	Zrùdnost vrozená	216	208	8	-	-	-	-	-	-	-
											
XIII	Ranı vìk	4312	4312	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	2438	2438	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1461	1461	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	412	412	-	-	-	-	-	-	-	-
163	Nedostatek péèe	1	1	-	-	-	-	-	-	-	-
											
XIV	Stáøí	6053	7	2	3	5	6	2	69	5959	0
164	Stáøí	6018	-	-	-	-	-	-	62	5956	-
											
XV	Zevní pøíèiny 	5152	64	264	236	1139	1092	652	978	711	16
SE		2558	0	0	26	657	574	348	548	394	11
165	Sebevrada otravou jedy	71	 -	 -	 -	21	25	10	12	3	 -
166	Sebevrada otravou poitím íravin	36	 -	 -	1	6	15	1	9	4	 -
167	Sebevrada vdechováním jedovatıch plynù	13	 -	 -	 -	6	4	 -	3	 -	 -
168	Sebevrada obìšením neb uškrcením	1372	 -	 -	17	213	254	220	382	286	 -
169	Sebevrada utopením	181	 -	 -	 -	31	40	24	44	33	9
170	Sebevrada zastøelením	592	 -	 -	4	269	171	56	58	33	1
171	Sebevrada nástroji øeznımi neb bodnımi	43	 -	 -	 -	6	10	6	12	9	 -
172	Sebevrada skokem s vıše	16	 -	 -	 -	7	2	2	3	2	 -
173	Sebevrada rozdrcením	163	 -	 -	2	78	38	17	13	14	1
174	Sebevrada jinım zpùsobem	71	 -	 -	2	20	15	12	12	10	 -
175	Otrava potravinami	10	 -	1	2	1	1	1	3	1	 -
176	Uštknutí neb štípnutí	1	 -	1	 -	 -	 -	 -	 -	 -	 -
177	Jiné prudké otravy náhodné (vyjma plyny)	11	 -	4	 -	3	2	 -	1	1	 -
178	Úraz pøi poáru	13	 -	 -	2	 -	1	2	1	4	3
179	Náhodné popálení (vyjma pøi poáru)	159	11	82	13	7	18	11	11	6	 -
180	Náhodné mechanické udušení (vyjma pøi poáru)	69	22	6	4	5	7	8	11	6	 -
181	Vdechování plynù nedıchatelnıch neb jedovatıch	37	 -	 -	12	7	7	4	5	2	 -
182	Náhodné utopení	447	4	103	65	127	46	22	50	30	 -
183	Poranìní støelnou zbraní	68	 -	4	8	20	21	8	7	 -	 -
184	Poranìní nástroji øeznımi neb bodnımi	27	1	1	2	5	5	5	5	3	 -
185	Poranìní pádem	146	 -	4	7	22	22	17	33	41	 -
186	Poranìní v dolech neb lomech	113	 -	 -	 -	24	47	24	15	3	 -
187	Poranìní stroji	10	 -	2	1	4	2	 -	 -	1	 -
DN		301	0	13	29	53	85	38	54	29	0
188a	Poranìní eleznicemi a tramvajemi	127	 -	4	6	18	47	21	21	10	 -
188b	Poranìní automobily	85	 -	5	15	12	18	9	12	14	 -
188c	Poranìní motocykly	17	 -	 -	 -	 -	7	1	8	1	 -
188d	Poranìní aeroplány a balony	20	 -	 -	 -	12	7	 -	1	 -	 -
188	Poranìní jinımi dopravními prostøedky	52	 -	4	8	11	6	7	12	4	 -
188f	Poranìní jinım zhmodìním	449	4	20	31	79	107	65	92	51	 -
189	Poranìní zpùsobená zvíøaty	24	 -	1	 -	 -	1	6	13	3	 -
192b	Hlad nebo ízeò	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
193	Pøílišnı chlad	60	 -	 -	1	3	5	10	28	11	2
194	Pøílišnı ár	4	 -	1	1	1	 -	 -	1	 -	 -
195	Blesk	31	 -	 -	4	6	7	3	8	3	 -
196	Jiné úrazy elektrickım proudem	89	 -	1	3	36	31	12	5	1	 -
NA		195	21	12	13	37	37	19	31	25	0
197	Zabití støelnou zbraní	14	 -	1	1	4	2	2	2	2	 -
198	Zabití nástroji øeznımi neb bodnımi	24	 -	1	1	10	7	2	3	 -	 -
199	Zabití jinımi prostøedky	41	 -	2	1	4	14	7	6	7	 -
200	Zabití dítìte do 1 roku	21	21	 -	 -	 -	 -	 -	 -	 -	 -
201c	Zlomeniny (bez blišího oznaèení)	330	1	8	12	42	66	49	56	96	 -
202a	Ostatní násilná zevní poranìní	95	 -	8	10	19	14	8	20	16	 -
202b	Poprava legální	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
203	Násilná smrt neznáme pøíèiny	-	-	-	-	-	-	-	-	-	-
											
XVI	Nemoci špatnì definované	758	152	45	11	28	39	66	203	212	2
204	Náhlé úmrtí	6	2	-	-	1	-	-	-	3	-
205	Nemoci nespecifikované nebo špatnì definované	752	150	45	11	27	39	66	203	209	2
